id_auction,title,present_price,visits_number,end_date
2095596753,"BOSNIA 10 Dinara  1993  ""overprint Sarajevo Uncivpol""  on  P. 10  UNC",7,12,2026-05-05 00:00:00
2095596756,"BOSNIA 25 Dinara  1993  ""overprint Sarajevo Uncivpol""  on  P. 11  UNC",11.5,10,2026-05-05 00:00:00
2095596759,"BOSNIA 100 Dinara  1993  ""overprint Sarajevo Uncivpol""  on  P. 13   UNC",21.5,24,2026-05-05 00:00:00
2095596762,"BOSNIA  10 Konvertibilnih Maraka 1998  P. 64   ""perforated and overprint  specimen 00529""    UNC",35,11,2026-05-06 00:00:00
2095596765,"BOSNIA  100 Konvertibilnih Maraka 1998  P. 69   ""perforated and overprint  specimen 00529""    UNC",78,15,2026-05-06 00:00:00
2095596768,"BOSNIA  5 Konvertibilnih Maraka 1998  P. 62   ""perforated and overprint  specimen 00529""    UNC",27,15,2026-05-05 00:00:00
2095596771,BOSNIA 500.000.000  500 million  Dinara  1993   P. 158    UNC,5.5,11,2026-05-06 00:00:00
2095596774,BOSNIA 50.000.000.000  50 billion  Dinara  1993   *rare*   P. 160    UNC,43.5,21,2026-05-06 00:00:00
2095596777,BOSNIA 500 dinara 1992  P. 25    VF,11.5,25,2026-05-06 00:00:00
2095596780,BOSNIA 1.000.000.000  1 billion  dinara  1993    P. 147   VF,6,16,2026-05-06 00:00:00
2095596783,"BOSNIA  20 Konvertibilnih Maraka 1998  P. 65   ""perforated and overprint  specimen 00529""    UNC",47,13,2026-05-06 00:00:00
2095596789,"BOSNIA 50 Dinara  1993  ""overprint Sarajevo Uncivpol""  on  P. 12   UNC",16,10,2026-05-05 00:00:00
2095596795,BOSNIA 100.000   100000 Dinara 1993  P. 141   aUNC,4.5,14,2026-05-09 00:00:00
2095596798,BOSNIA 10.000  10000 Dinara 25.1.1993  P. 17 *scarce note*  UNC,19,16,2026-05-05 00:00:00
2095596801,"BOSNIA  50 Konvertibilnih Maraka 1998  P. 67   ""perforated and overprint  specimen 00529""    UNC",63.5,21,2026-05-06 00:00:00
2095596807,BOSNIA 10.000  10000 Dinara 1993  P. 139     VF++,4.5,21,2026-05-10 00:00:00
2095596813,BOSNIA 5.000  5000 Dinara  25.1.1993  P. 16 UNC,9,12,2026-05-10 00:00:00
2095596816,BOSNIA 100.000  100000 Dinara  1993 P. 154  UNC,4.5,12,2026-05-05 00:00:00
